id,CASEHDRDATA_APPSIGNDATEdiff,CASEHDRDATA_DATEISSUEDdiff,CASEHDRDATA_DATERECEIVEDdiff,CASEHDRDATA_EAPPDATARECEIVEDdiff,CASEHDRDATA_RATELOCKEFFECTIVEDATEdiff,CASEHDRDATA_TIMESTAMPdiff,FINANCIALGOALSDATA_TIMESTAMPdiff,issueDatediff,policyAge,policyValue,policyWithdrawals,receivedDatediff,shortId,class,siu.predictedDisposition,siu.score,siu.uc2e,siu.uc7e,siu.uc8e,surrenderCharges,modelType_Anniversary,modelType_Calendar Year End,modelType_Cost Basis Adjustment,modelType_Death Claim,modelType_Death Claim - 10YD,modelType_Death Claim - 5YD,modelType_Death Claim Disbursement,modelType_Free Look Cancel,modelType_Full Surrender,modelType_Partial Surrender,modelType_Pending Death Claim,modelType_Premium,modelType_Renewal Transaction,modelType_Spousal Continuation,modelType_Systematic Withdrawal,productType_RSL - Apollo,productType_RSL - Apollo 93 BV,productType_RSL - Apollo 93 MVA,productType_RSL - Argus MVA,productType_RSL - Deferral,productType_RSL - Elektra 5 6 7,productType_RSL - Eleos,productType_RSL - Eleos 96 MVA,productType_RSL - Keystone,productType_RSL - Reliance Guarantee,ownerType_Organization,ownerType_Person,template_NON-FINANCIAL,template_financial-transaction,template_non-financial-transaction,no_employees
08ceed5a-5123-4aeb-8561-79bf7b37e715,-43403,-43403,-43403,-43403,-43403,-43403,-43403,-43403,58.0,234694.1,0.0,-43403,2521875,consistent,1,0.3333333333333333,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
092de9ec-1427-4eaa-a6a6-db3797a7d30c,-43281,-43281,-43281,-43281,-43281,-43281,-43281,-43281,71.0,102407.01,4334.78,-43281,2252767,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
09fdce5b-1238-47f4-8753-c94c922308bd,-42386,-42386,-42386,-42386,-42386,-42386,-42386,-42386,60.0,0.0,28783.98,-42386,2701244,consistent,1,0.6666666666666666,1.0,1.0,0.0,1153.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
09ffb856-4f4e-41d5-a80b-6133f08e7edc,-43129,-43129,-43129,-43129,-43129,-43129,-43129,-43129,75.0,0.0,0.0,-43129,2668729,consistent,1,0.5,1.0,0.0,0.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
0a87a2a4-b97a-422f-a9a8-f0e9376e03f9,-41518,-41518,-41518,-41518,-41518,-41518,-41518,-41518,66.0,0.0,0.0,-41518,2829132,consistent,1,0.6666666666666666,1.0,0.5,0.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
0c4b343b-e21a-4402-ac71-e58021934ac6,-41877,-41877,-41877,-41877,-41877,-41877,-41877,-41877,71.0,0.0,95641.44,-41877,2826692,consistent,1,0.6666666666666666,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0f6257c0-92d2-40c5-9e17-8b60692bc69b,-42991,-42991,-42991,-42991,-42991,-42991,-42991,-42991,75.0,72436.23,8048.47,-42991,2501864,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
0fc33148-224d-4505-a96d-68ac0ed4e571,-42991,-42991,-42991,-42991,-42991,-42991,-42991,-42991,45.0,155529.89,17281.1,-42991,2590209,consistent,1,0.3333333333333333,0.5,0.5,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2
0fe1e84b-4e5f-4ff9-8d16-4671810d200f,-43862,-43862,-43862,-43862,-43862,-43862,-43862,-43862,46.0,70792.44,7865.83,-43862,2556798,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2
1327e1db-8e33-4b10-9bf1-76a0acf726c0,-43309,-43309,-43309,-43309,-43309,-43309,-43309,-43309,70.0,54223.05,0.0,-43309,2573367,consistent,1,0.5,1.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2
