,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,ops,ops.uc1a,ops.uc2a,ops.uc6a,ops.uc7a,ops.uc8a,ops.uc5,ops.eligibleHypothesis,ops.score,ops.predictedDisposition,template
629,d9923bde-39ff-4d92-9639-629bec508257,transaction,transaction-d9923bde-39ff-4d92-9639-629bec508257,['BDB9901316'],"['470ckx', 'WebServices']",226,,2653357,ATMIE20508,Completed,2021-11-03T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-11-02T00:00:00.0000000,0.0,85.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,,0.0,0.0,,4/6,0.0,consistent,non-financial-transaction
630,da0b73c5-8176-486c-a2d0-115479f0a481,transaction,transaction-da0b73c5-8176-486c-a2d0-115479f0a481,['BDB0009460'],"['470grw', 'WebServices']",226,,2645720,K5E0008765,Completed,2021-11-01T00:00:00.0000000,,Issue,RSL - Keystone,Person,,,,2021-11-01T00:00:00.0000000,0.0,61.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
631,da7ae862-89bc-4ee2-8b53-cc7e3f9525bc,transaction,transaction-da7ae862-89bc-4ee2-8b53-cc7e3f9525bc,['IND0001418'],"['470qda', 'WebServices']",226,,2654285,K5P0001068,Completed,2021-11-04T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2017-10-02T00:00:00.0000000,32329.27,63.0,3592.14,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,1.0,0.0,,4/6,0.5,inconsistent,financial-transaction
632,da8c6fdc-9e26-427e-bd54-2edc24efe05d,transaction,transaction-da8c6fdc-9e26-427e-bd54-2edc24efe05d,"['IND9918021', 'IND9918028']","['WebServices', '470fbd']",226,,2643599,ATMGP00059,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Eleos,Person,,,,2017-10-11T00:00:00.0000000,59318.54,79.0,6590.95,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,0.0,1.0,0.0,,5/6,0.4,inconsistent,financial-transaction
633,dad66e1d-fcbd-44b7-b550-6cc9c9143fa5,transaction,transaction-dad66e1d-fcbd-44b7-b550-6cc9c9143fa5,['IND9903181'],"['470gtc', 'WebServices']",226,,2644683,KXP0006570,Completed,2021-10-31T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2019-07-01T00:00:00.0000000,43868.56,69.0,2308.87,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,financial-transaction
634,dad7ec92-8cf5-406f-bd3c-f8532e4cdcc4,transaction,transaction-dad7ec92-8cf5-406f-bd3c-f8532e4cdcc4,['BDB0008540'],"['470kax', 'WebServices']",226,,2645742,ATMIE21139,Completed,2021-11-01T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-28T00:00:00.0000000,0.0,64.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,,0.0,0.0,,4/6,0.25,inconsistent,non-financial-transaction
635,db21baf2-bc7c-47d2-8bc8-8326d69d465a,transaction,transaction-db21baf2-bc7c-47d2-8bc8-8326d69d465a,['BDB0007175'],"['WebServices', '470sce']",226,,2644634,K5E0008735,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Keystone,Person,,,,2021-11-01T00:00:00.0000000,0.0,83.0,0.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,,,,0.0,,2/6,0.0,consistent,non-financial-transaction
636,db2382dd-c26f-4ed9-82ab-00ae6f94b463,transaction,transaction-db2382dd-c26f-4ed9-82ab-00ae6f94b463,['BDB0003457'],"['470gtc', 'WebServices']",226,,2644708,ATMGP01309,Completed,2021-10-31T00:00:00.0000000,,Partial Surrender,RSL - Eleos,Person,,,,2020-10-01T00:00:00.0000000,66603.37,63.0,7390.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,0.0,0.0,0.0,,5/6,0.2,inconsistent,financial-transaction
637,db9751cb-d912-4502-a2ba-761a7b34872a,transaction,transaction-db9751cb-d912-4502-a2ba-761a7b34872a,['BDB9919405'],"['WebServices', '470fbd']",226,,2644671,K5P0000112,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2017-04-17T00:00:00.0000000,121107.91,61.0,7000.0,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,0.0,1.0,0.0,,5/6,0.4,inconsistent,financial-transaction
638,dbcb0ce9-e9c6-4127-a463-8dfcbf916c6e,transaction,transaction-dbcb0ce9-e9c6-4127-a463-8dfcbf916c6e,['BDB9906550'],"['470fbd', 'WebServices']",226,,2652070,K7E0000188,Completed,2021-11-02T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2017-05-01T00:00:00.0000000,107481.19,69.0,11942.36,0.0,,ops,"{'uc1a': None, 'uc2a': None, 'uc6a': None, 'uc7a': None, 'uc8a': None, 'uc5': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,1.0,0.0,1.0,0.0,,5/6,0.4,inconsistent,financial-transaction
