,id,type,referenceDocumentId,agentIds,employeeIds,batchId,applicationSignedState,shortId,policyId,status,receivedDate,signDate,modelType,productType,ownerType,moneySourceType,paperworkReceivedDate,electronicReceivedDate,issueDate,policyValue,policyAge,policyWithdrawals,surrenderCharges,suitabilityScore,role,siu,siu.uc2e,siu.uc7e,siu.uc8e,siu.eligibleHypothesis,siu.score,siu.predictedDisposition,template
552,85e1dfc8-829b-4ef4-85d2-86755db8ff7e,transaction,transaction-85e1dfc8-829b-4ef4-85d2-86755db8ff7e,['BDB0005942'],"['470fnx', 'WebServices']",226,,2654402,RGM5E00369,Completed,2021-11-04T00:00:00.0000000,,Issue,RSL - Reliance Guarantee,Person,,,,2021-10-28T00:00:00.0000000,0.0,67.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
553,86034616-6c45-40ab-8072-594f6c170f15,transaction,transaction-86034616-6c45-40ab-8072-594f6c170f15,['BDB9902017'],"['470FJX', 'WebServices']",226,,2654451,ATMIE21186,Completed,2021-11-04T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-11-01T00:00:00.0000000,0.0,65.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.0,0.0,3/3,0.1666666666666666,inconsistent,non-financial-transaction
554,860ab0f8-3379-461e-a9bd-4fc6db5211df,transaction,transaction-860ab0f8-3379-461e-a9bd-4fc6db5211df,['BDB0000051'],"['WebServices', '470tbf']",226,,2654395,K5P0000865,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Keystone,Person,,,,2017-09-01T00:00:00.0000000,21142.74,76.0,2348.2,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
555,861b8186-dff4-4cd4-950e-9c4e1b23c028,transaction,transaction-861b8186-dff4-4cd4-950e-9c4e1b23c028,['BDB0013200'],['470sce'],226,,2645774,K5E0008621,Pending,1900-01-01T00:00:00.0000000,,Issue,RSL - Keystone,Person,,,,2021-11-15T00:00:00.0000000,,62.0,,,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.0,0.0,0.0,3/3,0.0,consistent,non-financial-transaction
556,86457ca3-735b-4c8c-aa13-a9149afe4219,transaction,transaction-86457ca3-735b-4c8c-aa13-a9149afe4219,['BDB9922018'],"['470wbm', 'WebServices']",226,,2644678,RGM5E00305,Completed,2021-10-31T00:00:00.0000000,,Issue,RSL - Reliance Guarantee,Person,,,,2021-10-21T00:00:00.0000000,0.0,66.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,non-financial-transaction
557,86958f39-124d-471c-b96f-b151378d3d73,transaction,transaction-86958f39-124d-471c-b96f-b151378d3d73,,"['470mkx', 'WebServices']",226,,2643617,ATMI011778,Completed,2021-10-28T00:00:00.0000000,,Death Claim,RSL - Eleos,,,,,2012-07-31T00:00:00.0000000,0.0,80.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.5,3/3,0.5,inconsistent,financial-transaction
558,86a1f1bb-2639-4510-96d9-531d4223aa0c,transaction,transaction-86a1f1bb-2639-4510-96d9-531d4223aa0c,['BDB0003636'],"['470ckx', 'WebServices']",226,,2643688,ATMIE20914,Completed,2021-10-28T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-10-28T00:00:00.0000000,0.0,80.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,non-financial-transaction
559,86b160b6-6b37-4f3d-8cda-952e36b18df4,transaction,transaction-86b160b6-6b37-4f3d-8cda-952e36b18df4,,"['470qda', '470mex', 'WebServices']",226,,2652013,ATMG010007,Pending Approval,1900-01-01T00:00:00.0000000,,Full Surrender,RSL - Eleos,,,,,2016-06-17T00:00:00.0000000,0.0,59.0,112049.73,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.6666666666666666,0.0,3/3,0.5555555555555555,inconsistent,financial-transaction
560,86dc966d-e65d-40a7-bb03-7b02e2a80717,transaction,transaction-86dc966d-e65d-40a7-bb03-7b02e2a80717,['IND9904960'],"['WebServices', '470qda']",226,,2652093,AAMIP00387,Pending,1900-01-01T00:00:00.0000000,,Partial Surrender,RSL - Apollo,Person,,,,2017-08-03T00:00:00.0000000,145997.3,64.0,36499.32,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
561,86fd023c-299e-4d11-a484-2dfaf4073b83,transaction,transaction-86fd023c-299e-4d11-a484-2dfaf4073b83,['BDB9902086'],"['WebServices', '470srl']",226,,2644625,ATMIE20618,Pending,1900-01-01T00:00:00.0000000,,Cost Basis Adjustment,RSL - Eleos,Person,,,,2021-10-27T00:00:00.0000000,54651.75,61.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",0.5,0.5,0.0,3/3,0.3333333333333333,inconsistent,financial-transaction
562,8728670f-b52b-466a-99d2-6454be7db2a5,transaction,transaction-8728670f-b52b-466a-99d2-6454be7db2a5,,"['470knx', 'WebServices']",226,,2643763,KX00004827,Completed,2021-10-28T00:00:00.0000000,,Partial Surrender,RSL - Keystone,,,,,2015-07-01T00:00:00.0000000,10864.78,45.0,1207.2,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
563,8733bafd-5486-4e36-8f37-e6f21270aa51,transaction,transaction-8733bafd-5486-4e36-8f37-e6f21270aa51,,"['470fbd', 'WebServices']",226,,2643713,ATMI012143,Completed,2021-10-28T00:00:00.0000000,,Partial Surrender,RSL - Eleos,,,,,2012-08-28T00:00:00.0000000,41050.92,57.0,5000.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.5,0.0,3/3,0.5,inconsistent,financial-transaction
564,87776e0d-7c57-48e4-a0af-23e65ef9d059,transaction,transaction-87776e0d-7c57-48e4-a0af-23e65ef9d059,['BDB0002287'],"['470ckx', 'WebServices']",226,,2652075,ATMIE20499,Completed,2021-11-02T00:00:00.0000000,,Issue,RSL - Eleos,Person,,,,2021-11-02T00:00:00.0000000,0.0,61.0,0.0,0.0,,siu,"{'uc2e': None, 'uc7e': None, 'uc8e': None, 'score': None, 'predictedDisposition': None, 'eligibleHypothesis': None, 'actualDisposition': None, 'state': 'unassigned'}",1.0,0.0,0.0,3/3,0.3333333333333333,inconsistent,non-financial-transaction
